type,id,value,key
regular,25895788,footway,highway
regular,29178837,footway,highway
regular,30803075,桐梓胡同,name
regular,30803075,service,highway
name,30803075,Tongzi Hutong,en
regular,30803075,alley,service
regular,33803505,1,layer
regular,33803505,yes,bridge
regular,33803505,yes,oneway
regular,33803505,trunk_link,highway
regular,40745413,viaduct,bridge
regular,40745413,motorway,highway
regular,40745413,3,lanes
regular,40745413,1,layer
regular,40745413,yes,oneway
regular,42491092,yes,oneway
regular,42491092,trunk_link,highway
regular,42941180,S216,ref
regular,42941180,G6辅路,name
regular,42941180,2,lanes
regular,42941180,yes,oneway
regular,42941180,primary,highway
regular,43977772,yes,building
regular,47691618,定福庄东街 (dìngfúzhuāng dōng jiē),name
regular,47691618,residential,highway
name,47691618,Dingfuzhuang East Street,en
name,47691618,Rue Est Dìngfúzhuāng,fr
name,47691618,定福庄东街,zh
name,47691618,dìngfúzhuāng dōng jiē,zh_pinyin
regular,55334711,Yahoo hires,source
regular,55334711,residential,highway
regular,59174592,residential,highway
regular,60110810,residential,highway
regular,80899825,water,natural
regular,89375367,rail,railway
regular,89375367,2,passenger_lines
regular,102404841,taxiway,aeroway
regular,107011220,yes,oneway
regular,107011220,trunk_link,highway
regular,113814500,yes,building
regular,117091205,X043,ref
regular,117091205,采万路,name
regular,117091205,secondary,highway
regular,120276771,no,access
regular,120276771,yes,oneway
regular,120276771,tertiary,highway
regular,121375736,-4,layer
regular,121375736,yes,covered
regular,121375736,train_station,building
regular,121375736,station,public_transport
regular,122214336,yes,bridge
regular,122214336,rail,railway
regular,122214336,contact_line,electrified
regular,127468286,西三环中路,name
regular,127468286,yes,oneway
regular,127468286,trunk,highway
regular,127468286,4,maxheight
regular,128623105,unclassified,highway
regular,136512026,secondary,highway
regular,136512026,yes,oneway
regular,144356228,service,highway
regular,150587400,yes,oneway
regular,150587400,trunk_link,highway
regular,152607487,yes,building
regular,156319713,no,bench
regular,156319713,platform,highway
regular,156319713,yes,shelter
regular,156319713,platform,public_transport
regular,159524588,颐和园路,name
regular,159524588,yes,oneway
regular,159524588,tertiary,highway
name,159524588,颐和园路,zh
regular,159524588,Yiheyuan lu,int_name
regular,161661641,1435,gauge
regular,161661641,1,layer
regular,161661641,yes,bridge
regular,161661641,rail,railway
regular,161661641,25000,voltage
regular,161661641,50,frequency
regular,161661641,contact_line,electrified
regular,163896066,service,highway
regular,165274744,train_station,building
regular,165274744,station,public_transport
regular,167657292,no,bench
regular,167657292,platform,highway
regular,167657292,yes,shelter
regular,167657292,platform,public_transport
regular,169658778,tertiary,highway
regular,170765062,yes,oneway
regular,170765062,secondary_link,highway
regular,173019406,unclassified,highway
regular,174531746,yes,bench
regular,174531746,platform,highway
regular,174531746,yes,shelter
regular,174531746,platform,public_transport
regular,176583914,secondary,highway
regular,176583914,3,lanes
regular,176583914,东四环中路,name
regular,176583914,yes,oneway
regular,182545272,2,lanes
regular,182545272,1,layer
regular,182545272,yes,bridge
regular,182545272,yes,oneway
regular,182545272,motorway,highway
regular,184063861,path,highway
regular,185579011,path,highway
regular,187810687,yes,oneway
regular,187810687,service,highway
regular,190408047,建国路,name
regular,190408047,yes,oneway
regular,190408047,tertiary,highway
name,190408047,Jianguo Road,en
regular,190408047,Jian' Guo Lu,int_name
regular,199903004,大屯路,name
regular,199903004,yes,oneway
regular,199903004,secondary,highway
name,199903004,Datun road,en
name,199903004,Route Dàtún,fr
name,199903004,大屯路,zh
name,199903004,dàtún lù,zh_pinyin
regular,205395295,G45,ref
regular,205395295,3,lanes
regular,205395295,yes,oneway
regular,205395295,motorway,highway
regular,210697483,tertiary,highway
regular,219289495,service,highway
regular,224834638,estimated,source
regular,224834638,administrative,boundary
regular,224834638,6,admin_level
regular,227135624,北辰路,name
regular,227135624,yes,oneway
regular,227135624,secondary,highway
regular,230627592,S317,ref
regular,230627592,京周路,name
regular,230627592,yes,oneway
regular,230627592,tertiary,highway
regular,232603158,贺村新村,name
regular,232603158,residential,landuse
regular,235761641,footway,highway
regular,238407728,footway,highway
regular,239167102,secondary,highway
name,239167102,Qinghua East Road,en
name,239167102,Route Est qīnghuá,fr
name,239167102,清华东路,zh
name,239167102,qīnghuá dōng lù,zh_pinyin
regular,239167102,yes,oneway
regular,240016549,yes,building
regular,240825568,yes,building
regular,242214791,unclassified,highway
regular,244031353,广顺北大街,name
regular,244031353,yes,oneway
regular,244031353,secondary,highway
name,244031353,Guang Shun North Street,en
regular,248202330,30号楼,name
regular,248202330,house,building
regular,251506055,房山北大街,name
regular,251506055,tertiary,highway
regular,253873840,yes,building
regular,256265268,tennis,sport
regular,256265268,pitch,leisure
regular,258088780,Bing-2011-7,source
regular,258088780,yes,building
regular,262843600,yes,building
roof,262843600,hipped,shape
regular,267948000,service,highway
regular,276433608,yes,building
regular,281237458,yes,building
regular,286200606,house,building
regular,287455745,yes,oneway
regular,287455745,cycleway,highway
regular,296729231,residential,highway
regular,297973229,no,oneway
regular,297973229,residential,highway
regular,297973229,asphalt,surface
regular,305390271,trunk road supreceded by expressway,note
regular,305390271,no,oneway
regular,305390271,Yahoo hires,source
regular,305390271,residential,highway
regular,312538946,yes,building
regular,317707399,yes,oneway
regular,317707399,motorway_link,highway
regular,318808486,yes,building
regular,324633389,yes,building
regular,327580889,footway,highway
regular,330066076,rail,railway
regular,330066076,yard,service
regular,331673102,1,layer
regular,331673102,yes,bridge
regular,331673102,yes,oneway
regular,331673102,motorway,highway
regular,334801781,motorway_link,highway
regular,343243523,2,lanes
regular,343243523,yes,oneway
regular,343243523,primary,highway
regular,350719277,residential,building
regular,353635479,X031,ref
regular,353635479,secondary,highway
regular,356866679,service,highway
regular,358587453,service,highway
regular,359677115,yes,building
regular,364446963,yes,building
regular,365997161,yes,building
regular,371402280,yes,building
regular,383574490,yes,bridge
regular,383574490,contact_line,electrified
regular,383574490,50,frequency
regular,383574490,1435,gauge
regular,383574490,rail,railway
regular,383574490,bing,source
regular,383574490,main,usage
regular,383574490,25000,voltage
regular,389892673,yes,building
regular,390195797,service,highway
regular,393391935,yes,building
regular,399057339,residential,highway
regular,404398179,service,highway
regular,405404964,yes,building
regular,405593603,residential,highway
regular,407185507,yes,building
regular,409562834,210,ref
regular,409562834,parking_position,aeroway
regular,411814428,residential,highway
regular,415981768,secondary_link,highway
regular,417466509,yes,building
regular,419406576,yes,building
regular,422328247,yes,building
regular,435147301,金凯福宾馆,name
regular,435147301,hotel,tourism
regular,435147301,yes,building
regular,438502864,tertiary,highway
regular,440194922,house,building
regular,444053573,service,highway
regular,449664880,apartments,building
regular,460189114,rail,railway
regular,460189114,siding,service
regular,467852129,yes,building
regular,468883628,unclassified,highway
regular,474747304,residential,building
building,474747304,4,levels
addr,476078138,北京,city
addr,476078138,9,housenumber
addr,476078138,100089,postcode
addr,476078138,邓庄南路,street
regular,476078138,yes,building
building,476078138,10,levels
regular,476078138,中国科学院遥感与数字地球研究所,name
regular,477732091,yes,building
regular,478185162,yes,building
regular,478394133,yes,building
regular,478494920,pitch,leisure
regular,478555913,apartments,building
regular,479265402,yes,building
regular,479825382,service,highway
regular,482386554,yes,building
regular,487158773,yes,building
regular,493451292,yes,building
regular,494449700,yes,building
regular,495673830,yes,building
regular,496253786,yes,building
regular,503530352,1435,gauge
regular,503530352,rail,railway
